ensemble,Δx,compressor,metric,n,mean_direct,p_value_vs_0,outlier_frac_>2sd
uniform400,0.01,gzip,r_PhIIa,50,-0.9997527203434495,1.6560435382242608e-204,0.04
uniform400,0.01,gzip,r_PhIIb,50,-0.9997281382138301,1.4814869929645572e-201,0.02
uniform400,0.01,gzip,r_Rg,50,0.9976408129774376,5.347883731809546e-165,0.08
uniform400,0.01,gzip,r_NND,50,0.9815539397621964,9.435507551255734e-129,0.06
uniform400,0.01,gzip,r_Var,50,0.9897817786372519,3.3230463042337505e-139,0.08
uniform400,0.01,lzma,r_PhI,50,0.4357237897343327,2.045538547961942e-14,0.04
uniform400,0.01,lzma,r_PhIIa,50,-0.9995200584767597,2.826824463408612e-189,0.04
uniform400,0.01,lzma,r_PhIIb,50,-0.9995072161004672,3.7279310834768134e-190,0.06
uniform400,0.01,lzma,r_Rg,50,0.9971625582378755,1.9183212171997357e-159,0.04
uniform400,0.01,lzma,r_NND,50,0.9806768782703493,8.324867399654326e-129,0.02
uniform400,0.01,lzma,r_Var,50,0.9890675555191315,4.806826613394637e-138,0.04
uniform400,0.01,none,r_PhI,50,0.0,,0.0
uniform400,0.01,none,r_PhIIa,50,0.0,,0.0
uniform400,0.01,none,r_PhIIb,50,0.0,,0.0
